epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.2901,0.46376,0.46199,2.44011,0.81788,0.99695,1,0.995,0.8859,0.99695,1,0.995,0.96074,0.42934,0.25557,2.6471,0.74578,0.00026,0.00026,0.00026
2,134.464,0.4893,0.32742,1.30177,0.80998,1,0.6241,0.99355,0.86718,1,0.6241,0.99355,0.94959,0.51763,0.26246,3.09214,0.76248,0.000529308,0.000529308,0.000529308
3,197.397,0.48331,0.29673,1.20992,0.8355,1,0.13807,0.29415,0.25911,1,0.13807,0.31148,0.28504,0.50065,0.49606,3.43441,0.8152,0.000787528,0.000787528,0.000787528
4,262.72,0.52599,0.28476,1.1141,0.86042,1,0.17958,0.87733,0.74886,1,0.17958,0.90759,0.8983,0.58744,0.23336,3.20747,0.87962,0.00103466,0.00103466,0.00103466
5,323.395,0.52312,0.26707,1.01855,0.85621,0.98346,0.97473,0.99323,0.83675,0.98346,0.97473,0.99323,0.99323,0.64979,0.19332,2.39916,0.92994,0.0012707,0.0012707,0.0012707
6,383.596,0.53826,0.26445,0.93325,0.86039,1,0.99235,0.995,0.83268,1,0.99235,0.995,0.86014,0.62007,0.62034,2.00835,0.93396,0.00149566,0.00149566,0.00149566
7,445.369,0.50064,0.22877,0.92697,0.86545,1,0.99896,0.995,0.88893,1,0.99896,0.995,0.88052,0.50345,0.51692,1.35132,0.87796,0.00170953,0.00170953,0.00170953
8,505.101,0.49607,0.21681,0.86314,0.87497,0.99806,1,0.995,0.87161,0.99806,1,0.995,0.97405,0.57289,0.24122,1.14196,0.93892,0.0017228,0.0017228,0.0017228
9,565.94,0.50393,0.23072,0.80938,0.86751,0.99865,1,0.995,0.88801,0.99865,1,0.995,0.97863,0.46346,0.1998,1.00789,0.86059,0.0016832,0.0016832,0.0016832
10,637.62,0.50275,0.22399,0.76795,0.86168,0.99805,1,0.995,0.91501,0.99805,1,0.995,0.98258,0.41899,0.16966,0.78397,0.82849,0.0016436,0.0016436,0.0016436
11,705.457,0.44143,0.22514,0.64639,0.84186,0.99899,1,0.995,0.89712,0.99899,1,0.995,0.97182,0.44479,0.20032,0.76285,0.87247,0.001604,0.001604,0.001604
