epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.2311,1.19038,2.98543,2.91698,1.52186,0.00412,1,0.30123,0.17541,0.00381,0.91875,0.19242,0.10436,1.14282,4.40481,3.45522,1.76678,0.00025005,0.00025005,0.00025005
2,141.902,1.02656,1.78267,2.166,1.32632,0.11102,0.9375,0.37599,0.21184,0.11102,0.9375,0.39118,0.22265,1.00556,2.47265,3.16683,1.56612,0.000511654,0.000511654,0.000511654
3,215.762,0.95919,1.51325,1.97562,1.2956,0.46342,0.3399,0.41686,0.26763,0.46534,0.34697,0.36624,0.16794,1.20841,3.54256,3.15453,1.90671,0.000767977,0.000767977,0.000767977
4,283.7,1.01219,1.70519,1.93097,1.32251,0.3777,0.56875,0.35665,0.19087,0.35613,0.51875,0.3604,0.16752,1.59655,4.45299,3.68534,2.24243,0.00101902,0.00101902,0.00101902
5,349.037,1.03387,1.70291,1.79869,1.33535,0.2921,0.69804,0.42768,0.23554,0.20375,0.63554,0.36502,0.16876,1.24194,3.6628,4.54801,1.83745,0.00126478,0.00126478,0.00126478
6,414.295,1.05505,1.56292,1.64935,1.34647,0.38763,0.53125,0.1488,0.06536,0.38763,0.53125,0.24278,0.07559,1.71077,4.42157,27.5274,2.91927,0.00150526,0.00150526,0.00150526
7,480.211,1.02113,1.5918,1.67004,1.30125,0.2874,0.575,0.2735,0.1499,0.26837,0.425,0.21689,0.11946,1.57215,4.90795,4.39938,2.39274,0.00156798,0.00156798,0.00156798
8,545.924,0.98796,1.47475,1.55301,1.27577,0.38708,0.56875,0.43509,0.28413,0.38708,0.56875,0.42475,0.22376,1.38384,4.20161,2.82418,1.9788,0.00155148,0.00155148,0.00155148
9,616.269,0.98477,1.45113,1.42712,1.25707,0.40028,0.39375,0.34286,0.23028,0.40028,0.39375,0.33637,0.211,1.65424,4.70787,3.25852,2.372,0.00153497,0.00153497,0.00153497
10,699.88,0.96553,1.47391,1.44681,1.28159,0.27137,0.25625,0.20392,0.11552,0.27137,0.25625,0.19477,0.10148,1.87968,3.95663,3.82865,2.33138,0.00151847,0.00151847,0.00151847
11,782.844,0.90994,1.41947,1.37891,1.2313,0.41681,0.50625,0.3453,0.19465,0.41681,0.50625,0.3384,0.16767,1.7696,4.65273,3.96361,2.22352,0.00150197,0.00150197,0.00150197
12,856.25,0.95066,1.43922,1.31291,1.25567,0.50857,0.3625,0.43269,0.32195,0.66245,0.4125,0.47847,0.24669,1.20062,3.49759,2.11119,1.74503,0.00148546,0.00148546,0.00148546
13,919.423,0.90401,1.29739,1.2184,1.21322,0.5627,0.46511,0.49124,0.31388,0.57159,0.52942,0.4938,0.29282,1.23661,3.38232,2.34296,1.79751,0.00146896,0.00146896,0.00146896
14,982.3,0.92894,1.28775,1.20229,1.22582,0.7887,0.35625,0.48687,0.29499,0.7887,0.35625,0.51221,0.29144,1.28977,2.86819,2.29977,1.77939,0.00145246,0.00145246,0.00145246
15,1046.07,0.89585,1.24667,1.16366,1.21778,0.69354,0.5116,0.5952,0.40729,0.69354,0.5116,0.61736,0.41614,1.25259,2.67592,1.97082,1.7456,0.00143595,0.00143595,0.00143595
16,1109.48,0.88302,1.26279,1.13646,1.1938,0.54703,0.63665,0.57657,0.38023,0.54703,0.63665,0.58609,0.35908,1.23786,2.65704,2.00462,1.75873,0.00141945,0.00141945,0.00141945
17,1173.41,0.8605,1.27542,1.09073,1.18189,0.51452,0.49362,0.53146,0.32347,0.51452,0.49362,0.5649,0.33997,1.20725,2.25915,2.00886,1.71865,0.00140295,0.00140295,0.00140295
